source_id,doi,channel,condition,drug,cell_id,t_s,value,unit,fs_Hz,imaging_modality,file_origin
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row0,1200.0,240045.971724927,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row0,1200.0,245708.805051706,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row0,1200.0,332871.922155053,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row0,1200.0,284301.75511389,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row1,1200.0,287157.433947511,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row1,1200.0,386619.932796983,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row1,1200.0,291761.516558894,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row1,1200.0,260580.028255681,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row2,1200.0,283269.004980303,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row2,1200.0,416811.669452966,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row2,1200.0,371720.772924665,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row2,1200.0,302592.315272157,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row3,1200.0,227411.345710402,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row3,1200.0,306753.903086115,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row3,1200.0,296267.95406443,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
